Table,NAME,FMTName,Type,Value,Label,Flat,
AHS2013N,PQSELFNR16,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSELFNR17,PQSELFNR,C,1,Yes,YES,
AHS2013N,PQSELFNR17,PQSELFNR,C,2,No,YES,
AHS2013N,PQSELFNR17,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSELFNR18,PQSELFNR,C,1,Yes,YES,
AHS2013N,PQSELFNR18,PQSELFNR,C,2,No,YES,
AHS2013N,PQSELFNR18,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSELFNR19,PQSELFNR,C,1,Yes,YES,
AHS2013N,PQSELFNR19,PQSELFNR,C,2,No,YES,
AHS2013N,PQSELFNR19,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSELFNR2,PQSELFNR,C,1,Yes,YES,
AHS2013N,PQSELFNR2,PQSELFNR,C,2,No,YES,
AHS2013N,PQSELFNR2,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSELFNR20,PQSELFNR,C,1,Yes,YES,
AHS2013N,PQSELFNR20,PQSELFNR,C,2,No,YES,
AHS2013N,PQSELFNR20,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSELFNR3,PQSELFNR,C,1,Yes,YES,
AHS2013N,PQSELFNR3,PQSELFNR,C,2,No,YES,
AHS2013N,PQSELFNR3,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSELFNR4,PQSELFNR,C,1,Yes,YES,
AHS2013N,PQSELFNR4,PQSELFNR,C,2,No,YES,
AHS2013N,PQSELFNR4,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSELFNR5,PQSELFNR,C,1,Yes,YES,
AHS2013N,PQSELFNR5,PQSELFNR,C,2,No,YES,
AHS2013N,PQSELFNR5,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSELFNR6,PQSELFNR,C,1,Yes,YES,
AHS2013N,PQSELFNR6,PQSELFNR,C,2,No,YES,
AHS2013N,PQSELFNR6,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSELFNR7,PQSELFNR,C,1,Yes,YES,
AHS2013N,PQSELFNR7,PQSELFNR,C,2,No,YES,
AHS2013N,PQSELFNR7,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSELFNR8,PQSELFNR,C,1,Yes,YES,
AHS2013N,PQSELFNR8,PQSELFNR,C,2,No,YES,
AHS2013N,PQSELFNR8,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSELFNR9,PQSELFNR,C,1,Yes,YES,
AHS2013N,PQSELFNR9,PQSELFNR,C,2,No,YES,
AHS2013N,PQSELFNR9,PQSELFNR,C,B,Not applicable,YES,
AHS2013N,PQSS1,PQSS,C,1,Yes,YES,
AHS2013N,PQSS1,PQSS,C,2,No,YES,
AHS2013N,PQSS1,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS10,PQSS,C,1,Yes,YES,
AHS2013N,PQSS10,PQSS,C,2,No,YES,
AHS2013N,PQSS10,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS11,PQSS,C,1,Yes,YES,
AHS2013N,PQSS11,PQSS,C,2,No,YES,
AHS2013N,PQSS11,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS12,PQSS,C,1,Yes,YES,
AHS2013N,PQSS12,PQSS,C,2,No,YES,
AHS2013N,PQSS12,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS13,PQSS,C,1,Yes,YES,
AHS2013N,PQSS13,PQSS,C,2,No,YES,
AHS2013N,PQSS13,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS14,PQSS,C,1,Yes,YES,
AHS2013N,PQSS14,PQSS,C,2,No,YES,
AHS2013N,PQSS14,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS15,PQSS,C,1,Yes,YES,
AHS2013N,PQSS15,PQSS,C,2,No,YES,
AHS2013N,PQSS15,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS16,PQSS,C,1,Yes,YES,
AHS2013N,PQSS16,PQSS,C,2,No,YES,
AHS2013N,PQSS16,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS17,PQSS,C,1,Yes,YES,
AHS2013N,PQSS17,PQSS,C,2,No,YES,
AHS2013N,PQSS17,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS18,PQSS,C,1,Yes,YES,
AHS2013N,PQSS18,PQSS,C,2,No,YES,
AHS2013N,PQSS18,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS19,PQSS,C,1,Yes,YES,
AHS2013N,PQSS19,PQSS,C,2,No,YES,
AHS2013N,PQSS19,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS2,PQSS,C,1,Yes,YES,
AHS2013N,PQSS2,PQSS,C,2,No,YES,
AHS2013N,PQSS2,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS20,PQSS,C,1,Yes,YES,
AHS2013N,PQSS20,PQSS,C,2,No,YES,
AHS2013N,PQSS20,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS3,PQSS,C,1,Yes,YES,
AHS2013N,PQSS3,PQSS,C,2,No,YES,
AHS2013N,PQSS3,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS4,PQSS,C,1,Yes,YES,
AHS2013N,PQSS4,PQSS,C,2,No,YES,
AHS2013N,PQSS4,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS5,PQSS,C,1,Yes,YES,
AHS2013N,PQSS5,PQSS,C,2,No,YES,
AHS2013N,PQSS5,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS6,PQSS,C,1,Yes,YES,
AHS2013N,PQSS6,PQSS,C,2,No,YES,
AHS2013N,PQSS6,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS7,PQSS,C,1,Yes,YES,
AHS2013N,PQSS7,PQSS,C,2,No,YES,
AHS2013N,PQSS7,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS8,PQSS,C,1,Yes,YES,
AHS2013N,PQSS8,PQSS,C,2,No,YES,
AHS2013N,PQSS8,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSS9,PQSS,C,1,Yes,YES,
AHS2013N,PQSS9,PQSS,C,2,No,YES,
AHS2013N,PQSS9,PQSS,C,B,Not applicable,YES,
AHS2013N,PQSSI1,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI1,PQSSI,C,2,No,YES,
AHS2013N,PQSSI1,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI10,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI10,PQSSI,C,2,No,YES,
AHS2013N,PQSSI10,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI11,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI11,PQSSI,C,2,No,YES,
AHS2013N,PQSSI11,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI12,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI12,PQSSI,C,2,No,YES,
AHS2013N,PQSSI12,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI13,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI13,PQSSI,C,2,No,YES,
AHS2013N,PQSSI13,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI14,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI14,PQSSI,C,2,No,YES,
AHS2013N,PQSSI14,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI15,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI15,PQSSI,C,2,No,YES,
AHS2013N,PQSSI15,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI16,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI16,PQSSI,C,2,No,YES,
AHS2013N,PQSSI16,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI17,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI17,PQSSI,C,2,No,YES,
AHS2013N,PQSSI17,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI18,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI18,PQSSI,C,2,No,YES,
AHS2013N,PQSSI18,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI19,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI19,PQSSI,C,2,No,YES,
AHS2013N,PQSSI19,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI2,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI2,PQSSI,C,2,No,YES,
AHS2013N,PQSSI2,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI20,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI20,PQSSI,C,2,No,YES,
AHS2013N,PQSSI20,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI3,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI3,PQSSI,C,2,No,YES,
AHS2013N,PQSSI3,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI4,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI4,PQSSI,C,2,No,YES,
AHS2013N,PQSSI4,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI5,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI5,PQSSI,C,2,No,YES,
AHS2013N,PQSSI5,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI6,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI6,PQSSI,C,2,No,YES,
AHS2013N,PQSSI6,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI7,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI7,PQSSI,C,2,No,YES,
AHS2013N,PQSSI7,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI8,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI8,PQSSI,C,2,No,YES,
AHS2013N,PQSSI8,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQSSI9,PQSSI,C,1,Yes,YES,
AHS2013N,PQSSI9,PQSSI,C,2,No,YES,
AHS2013N,PQSSI9,PQSSI,C,B,Not applicable,YES,
AHS2013N,PQWELF1,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF1,PQWELF,C,2,No,YES,
AHS2013N,PQWELF1,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF10,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF10,PQWELF,C,2,No,YES,
AHS2013N,PQWELF10,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF11,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF11,PQWELF,C,2,No,YES,
AHS2013N,PQWELF11,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF12,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF12,PQWELF,C,2,No,YES,
AHS2013N,PQWELF12,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF13,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF13,PQWELF,C,2,No,YES,
AHS2013N,PQWELF13,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF14,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF14,PQWELF,C,2,No,YES,
AHS2013N,PQWELF14,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF15,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF15,PQWELF,C,2,No,YES,
AHS2013N,PQWELF15,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF16,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF16,PQWELF,C,2,No,YES,
AHS2013N,PQWELF16,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF17,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF17,PQWELF,C,2,No,YES,
AHS2013N,PQWELF17,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF18,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF18,PQWELF,C,2,No,YES,
AHS2013N,PQWELF18,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF19,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF19,PQWELF,C,2,No,YES,
AHS2013N,PQWELF19,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF2,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF2,PQWELF,C,2,No,YES,
AHS2013N,PQWELF2,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF20,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF20,PQWELF,C,2,No,YES,
AHS2013N,PQWELF20,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF3,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF3,PQWELF,C,2,No,YES,
AHS2013N,PQWELF3,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF4,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF4,PQWELF,C,2,No,YES,
AHS2013N,PQWELF4,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF5,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF5,PQWELF,C,2,No,YES,
AHS2013N,PQWELF5,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF6,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF6,PQWELF,C,2,No,YES,
AHS2013N,PQWELF6,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF7,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF7,PQWELF,C,2,No,YES,
AHS2013N,PQWELF7,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF8,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF8,PQWELF,C,2,No,YES,
AHS2013N,PQWELF8,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWELF9,PQWELF,C,1,Yes,YES,
AHS2013N,PQWELF9,PQWELF,C,2,No,YES,
AHS2013N,PQWELF9,PQWELF,C,B,Not applicable,YES,
AHS2013N,PQWKCMP1,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP1,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP1,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP10,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP10,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP10,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP11,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP11,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP11,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP12,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP12,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP12,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP13,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP13,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP13,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP14,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP14,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP14,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP15,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP15,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP15,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP16,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP16,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP16,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP17,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP17,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP17,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP18,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP18,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP18,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP19,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP19,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP19,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP2,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP2,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP2,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP20,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP20,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP20,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP3,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP3,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP3,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP4,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP4,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP4,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP5,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP5,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP5,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP6,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP6,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP6,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP7,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP7,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP7,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP8,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP8,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP8,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PQWKCMP9,PQWKCMP,C,1,Yes,YES,
AHS2013N,PQWKCMP9,PQWKCMP,C,2,No,YES,
AHS2013N,PQWKCMP9,PQWKCMP,C,B,Not applicable,YES,
AHS2013N,PRENT,PRENT,N,.,Not reported,YES,
AHS2013N,PRENT,PRENT,N,0,None,YES,
AHS2013N,PRENT,PRENT,N,.B,Not applicable,YES,
AHS2013N,PRENT,PRENT,N,.D,Don't know,YES,
AHS2013N,PRENT,PRENT,N,.R,Refused,YES,
AHS2013N,PREOCC,PREOCC,C,,Not reported,YES,
AHS2013N,PREOCC,PREOCC,C,1,Gift or inheritance,YES,
AHS2013N,PREOCC,PREOCC,C,2,Purchased,YES,
AHS2013N,PREOCC,PREOCC,C,B,Not applicable,YES,
AHS2013N,PREOCC,PREOCC,C,D,Don't know,YES,
AHS2013N,PREOCC,PREOCC,C,R,Refused,YES,
AHS2013N,PRIN01,PRIN,N,.B,Not applicable,YES,
AHS2013N,PRIPMT,PRIPMT,C,,Not reported,YES,
AHS2013N,PRIPMT,PRIPMT,C,1,Yes,YES,
AHS2013N,PRIPMT,PRIPMT,C,2,No,YES,
AHS2013N,PRIPMT,PRIPMT,C,B,Not applicable,YES,
AHS2013N,PRIPMT,PRIPMT,C,D,Don't know,YES,
AHS2013N,PRIPMT,PRIPMT,C,R,Refused,YES,
AHS2013N,PRIPMT2,PRIPMT,C,,Not reported,YES,
AHS2013N,PRIPMT2,PRIPMT,C,1,Yes,YES,
AHS2013N,PRIPMT2,PRIPMT,C,2,No,YES,
AHS2013N,PRIPMT2,PRIPMT,C,B,Not applicable,YES,
AHS2013N,PRIPMT2,PRIPMT,C,D,Don't know,YES,
AHS2013N,PRIPMT2,PRIPMT,C,R,Refused,YES,
AHS2013N,PRIPMT3,PRIPMT,C,,Not reported,YES,
AHS2013N,PRIPMT3,PRIPMT,C,1,Yes,YES,
AHS2013N,PRIPMT3,PRIPMT,C,2,No,YES,
AHS2013N,PRIPMT3,PRIPMT,C,B,Not applicable,YES,
AHS2013N,PRIPMT3,PRIPMT,C,D,Don't know,YES,
AHS2013N,PRIPMT3,PRIPMT,C,R,Refused,YES,
AHS2013N,PROJ,PROJ,C,,Not reported,YES,
AHS2013N,PROJ,PROJ,C,1,Yes,YES,
AHS2013N,PROJ,PROJ,C,2,No,YES,
AHS2013N,PROJ,PROJ,C,B,Not applicable,YES,
AHS2013N,PROJ,PROJ,C,D,Don't know,YES,
AHS2013N,PROJ,PROJ,C,R,Refused,YES,
AHS2013N,PSEE1,PSEE,C,,Not reported,YES,
AHS2013N,PSEE1,PSEE,C,1,Yes,YES,
AHS2013N,PSEE1,PSEE,C,2,No,YES,
AHS2013N,PSEE1,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE1,PSEE,C,R,Refused,YES,
AHS2013N,PSEE10,PSEE,C,,Not reported,YES,
AHS2013N,PSEE10,PSEE,C,1,Yes,YES,
AHS2013N,PSEE10,PSEE,C,2,No,YES,
AHS2013N,PSEE10,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE10,PSEE,C,R,Refused,YES,
AHS2013N,PSEE11,PSEE,C,,Not reported,YES,
AHS2013N,PSEE11,PSEE,C,1,Yes,YES,
AHS2013N,PSEE11,PSEE,C,2,No,YES,
AHS2013N,PSEE11,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE11,PSEE,C,R,Refused,YES,
AHS2013N,PSEE12,PSEE,C,,Not reported,YES,
AHS2013N,PSEE12,PSEE,C,1,Yes,YES,
AHS2013N,PSEE12,PSEE,C,2,No,YES,
AHS2013N,PSEE12,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE12,PSEE,C,R,Refused,YES,
AHS2013N,PSEE13,PSEE,C,,Not reported,YES,
AHS2013N,PSEE13,PSEE,C,1,Yes,YES,
AHS2013N,PSEE13,PSEE,C,2,No,YES,
AHS2013N,PSEE13,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE13,PSEE,C,R,Refused,YES,
AHS2013N,PSEE14,PSEE,C,,Not reported,YES,
AHS2013N,PSEE14,PSEE,C,1,Yes,YES,
AHS2013N,PSEE14,PSEE,C,2,No,YES,
AHS2013N,PSEE14,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE14,PSEE,C,R,Refused,YES,
AHS2013N,PSEE15,PSEE,C,,Not reported,YES,
AHS2013N,PSEE15,PSEE,C,1,Yes,YES,
AHS2013N,PSEE15,PSEE,C,2,No,YES,
AHS2013N,PSEE15,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE15,PSEE,C,R,Refused,YES,
AHS2013N,PSEE16,PSEE,C,,Not reported,YES,
AHS2013N,PSEE16,PSEE,C,1,Yes,YES,
AHS2013N,PSEE16,PSEE,C,2,No,YES,
AHS2013N,PSEE16,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE16,PSEE,C,R,Refused,YES,
AHS2013N,PSEE17,PSEE,C,,Not reported,YES,
AHS2013N,PSEE17,PSEE,C,1,Yes,YES,
AHS2013N,PSEE17,PSEE,C,2,No,YES,
AHS2013N,PSEE17,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE17,PSEE,C,R,Refused,YES,
AHS2013N,PSEE18,PSEE,C,,Not reported,YES,
AHS2013N,PSEE18,PSEE,C,1,Yes,YES,
AHS2013N,PSEE18,PSEE,C,2,No,YES,
AHS2013N,PSEE18,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE18,PSEE,C,R,Refused,YES,
AHS2013N,PSEE19,PSEE,C,,Not reported,YES,
AHS2013N,PSEE19,PSEE,C,1,Yes,YES,
AHS2013N,PSEE19,PSEE,C,2,No,YES,
AHS2013N,PSEE19,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE19,PSEE,C,R,Refused,YES,
AHS2013N,PSEE2,PSEE,C,,Not reported,YES,
AHS2013N,PSEE2,PSEE,C,1,Yes,YES,
AHS2013N,PSEE2,PSEE,C,2,No,YES,
AHS2013N,PSEE2,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE2,PSEE,C,R,Refused,YES,
AHS2013N,PSEE20,PSEE,C,,Not reported,YES,
AHS2013N,PSEE20,PSEE,C,1,Yes,YES,
AHS2013N,PSEE20,PSEE,C,2,No,YES,
AHS2013N,PSEE20,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE20,PSEE,C,R,Refused,YES,
AHS2013N,PSEE3,PSEE,C,,Not reported,YES,
AHS2013N,PSEE3,PSEE,C,1,Yes,YES,
AHS2013N,PSEE3,PSEE,C,2,No,YES,
AHS2013N,PSEE3,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE3,PSEE,C,R,Refused,YES,
AHS2013N,PSEE4,PSEE,C,,Not reported,YES,
AHS2013N,PSEE4,PSEE,C,1,Yes,YES,
AHS2013N,PSEE4,PSEE,C,2,No,YES,
AHS2013N,PSEE4,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE4,PSEE,C,R,Refused,YES,
AHS2013N,PSEE5,PSEE,C,,Not reported,YES,
AHS2013N,PSEE5,PSEE,C,1,Yes,YES,
AHS2013N,PSEE5,PSEE,C,2,No,YES,
AHS2013N,PSEE5,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE5,PSEE,C,R,Refused,YES,
AHS2013N,PSEE6,PSEE,C,,Not reported,YES,
AHS2013N,PSEE6,PSEE,C,1,Yes,YES,
AHS2013N,PSEE6,PSEE,C,2,No,YES,
AHS2013N,PSEE6,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE6,PSEE,C,R,Refused,YES,
AHS2013N,PSEE7,PSEE,C,,Not reported,YES,
AHS2013N,PSEE7,PSEE,C,1,Yes,YES,
AHS2013N,PSEE7,PSEE,C,2,No,YES,
AHS2013N,PSEE7,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE7,PSEE,C,R,Refused,YES,
AHS2013N,PSEE8,PSEE,C,,Not reported,YES,
AHS2013N,PSEE8,PSEE,C,1,Yes,YES,
AHS2013N,PSEE8,PSEE,C,2,No,YES,
AHS2013N,PSEE8,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE8,PSEE,C,R,Refused,YES,
AHS2013N,PSEE9,PSEE,C,,Not reported,YES,
AHS2013N,PSEE9,PSEE,C,1,Yes,YES,
AHS2013N,PSEE9,PSEE,C,2,No,YES,
AHS2013N,PSEE9,PSEE,C,D,Don't know,YES,
AHS2013N,PSEE9,PSEE,C,R,Refused,YES,
AHS2013N,PTBANK,PTBANK,C,1,Yes,YES,
AHS2013N,PTBANK,PTBANK,C,2,No,YES,
AHS2013N,PTBANK,PTBANK,C,B,Not applicable,YES,
AHS2013N,PTBANK,PTBANK,C,D,Don't know,YES,
AHS2013N,PTBANK,PTBANK,C,R,Refused,YES,
AHS2013N,PTCHAM,PTCHAM,N,9998,"$9,998 or more",YES,
AHS2013N,PTCHAM,PTCHAM,N,.B,Not applicable,YES,
AHS2013N,PTCHAM,PTCHAM,N,.D,Don't know,YES,
AHS2013N,PTCHAM,PTCHAM,N,.R,Refused,YES,
AHS2013N,PTCHAM2,PTCHAM,N,9998,"$9,998 or more",YES,
AHS2013N,PTCHAM2,PTCHAM,N,.B,Not applicable,YES,
AHS2013N,PTCHAM2,PTCHAM,N,.D,Don't know,YES,
AHS2013N,PTCHAM2,PTCHAM,N,.R,Refused,YES,
AHS2013N,PTCHAM3,PTCHAM,N,9998,"$9,998 or more",YES,
AHS2013N,PTCHAM3,PTCHAM,N,.B,Not applicable,YES,
AHS2013N,PTCHAM3,PTCHAM,N,.D,Don't know,YES,
AHS2013N,PTCHAM3,PTCHAM,N,.R,Refused,YES,
AHS2013N,PTCHYR,PTCHYR,C,,Not reported,YES,
AHS2013N,PTCHYR,PTCHYR,C,1,Yes,YES,
AHS2013N,PTCHYR,PTCHYR,C,2,No,YES,
